vector_store_file_id,file_id,filename,old_status,current_status,is_published
file-W3umxBCiXk2dot5dzjozk6,file-W3umxBCiXk2dot5dzjozk6,article_52079549374873.txt,completed,completed,Yes
file-Y4bx8DWj5xYB5Ccej9xZ3M,file-Y4bx8DWj5xYB5Ccej9xZ3M,article_47340650351385.txt,completed,completed,Yes
file-WUsR7WBBeGGXiVxJauYSmD,file-WUsR7WBBeGGXiVxJauYSmD,article_48337970425625.txt,completed,completed,Yes
file-JRwJMPTJ7Em2yhET6Rhzc4,file-JRwJMPTJ7Em2yhET6Rhzc4,article_52198581964313.txt,completed,completed,Yes
file-KPP8xgLnts4eQzPPGGaEDH,file-KPP8xgLnts4eQzPPGGaEDH,article_19248966251417.txt,completed,completed,Yes
file-ST9uZXCVdNt9P8yMwqRagr,file-ST9uZXCVdNt9P8yMwqRagr,article_51677022302745.txt,completed,completed,Yes
file-9KHgbofLyg5jy1WKWp64Wu,file-9KHgbofLyg5jy1WKWp64Wu,article_360047724551.txt,completed,completed,Yes
file-8otfzpFAgwWYLHVzBrp8P8,file-8otfzpFAgwWYLHVzBrp8P8,article_23403418763545.txt,completed,completed,Yes
file-2QcJ7p9bQoxDinAGAsygLc,file-2QcJ7p9bQoxDinAGAsygLc,article_49533482352409.txt,completed,completed,Yes
file-75hgu6sWjqaebcomLK7cUb,file-75hgu6sWjqaebcomLK7cUb,article_49256014636697.txt,completed,completed,Yes
file-SngsbfR8QwLRej2NUruxFs,file-SngsbfR8QwLRej2NUruxFs,article_49539502304537.txt,completed,completed,Yes
file-P58Ky3dRuRawuQSZTFwTSm,file-P58Ky3dRuRawuQSZTFwTSm,article_48300727338521.txt,completed,completed,Yes
file-74uHJVTZC8t7CzZmaxqHeU,file-74uHJVTZC8t7CzZmaxqHeU,article_18105734284697.txt,completed,completed,Yes
file-EmjrhiofWdTMTKcAQsedxx,file-EmjrhiofWdTMTKcAQsedxx,article_360046670391.txt,completed,completed,Yes
file-LivwtCpZ1g9qPXUi7ErKKp,file-LivwtCpZ1g9qPXUi7ErKKp,article_27458260337433.txt,completed,completed,Yes
file-MBqHHH88akM3CJNt99yaTH,file-MBqHHH88akM3CJNt99yaTH,article_360046202632.txt,completed,completed,Yes
file-9HeJ97naRQT9RCr7xdW1TJ,file-9HeJ97naRQT9RCr7xdW1TJ,article_49709534631705.txt,completed,completed,Yes
file-SrA3fHkiFyyjxSbSrAFyrc,file-SrA3fHkiFyyjxSbSrAFyrc,article_49948809227545.txt,completed,completed,Yes
file-YL3oAwCSXznehLqwxzGD81,file-YL3oAwCSXznehLqwxzGD81,article_18064383906329.txt,completed,completed,Yes
file-Xw3Xip8Sqyn84LXVSz8a4i,file-Xw3Xip8Sqyn84LXVSz8a4i,article_51316582418329.txt,completed,completed,Yes
file-LnR9XuuvfJSQ49RpSBUDXh,file-LnR9XuuvfJSQ49RpSBUDXh,article_18066026538265.txt,completed,completed,Yes
file-GLXyz4qww66hvmKuY9jRf7,file-GLXyz4qww66hvmKuY9jRf7,article_50626346406681.txt,completed,completed,Yes
file-F7cdqvfCDKJKARwPPhf97x,file-F7cdqvfCDKJKARwPPhf97x,article_50155938741529.txt,completed,completed,Yes
file-TXp5ZW3aYB2aD2LWkawR6F,file-TXp5ZW3aYB2aD2LWkawR6F,article_32770873292313.txt,completed,completed,Yes
file-24MJx1x2kMNtk1NkhaAErB,file-24MJx1x2kMNtk1NkhaAErB,article_50689340027929.txt,completed,completed,Yes
file-UHRgUwTzVMHkcFp3jtBmRr,file-UHRgUwTzVMHkcFp3jtBmRr,article_35680658769689.txt,completed,completed,Yes
file-43Ndf9oTMijM4xyAgjjEL4,file-43Ndf9oTMijM4xyAgjjEL4,article_35412495841561.txt,completed,completed,Yes
file-WwhvAwpDQyPs9pmqC9k8um,file-WwhvAwpDQyPs9pmqC9k8um,article_52007851239321.txt,completed,completed,Yes
file-V9B6vATVSwG2cMpeJTMPp5,file-V9B6vATVSwG2cMpeJTMPp5,article_20393200316953.txt,completed,completed,Yes
file-PXoufMPrJ5zPghEmURxvCh,file-PXoufMPrJ5zPghEmURxvCh,article_49911330101913.txt,completed,completed,Yes
file-LbLhsXzQP8iHRVupZoC7gm,file-LbLhsXzQP8iHRVupZoC7gm,article_18069256899609.txt,completed,completed,Yes
file-FzoZJkqajK3g5Top7vSAp9,file-FzoZJkqajK3g5Top7vSAp9,article_49921986292377.txt,completed,completed,Yes
file-RprC3YfCPqkPrCN239ff3o,file-RprC3YfCPqkPrCN239ff3o,article_42554270556313.txt,completed,completed,Yes
file-B1VrgP4conNaKhatoTKjZk,file-B1VrgP4conNaKhatoTKjZk,article_24359389797273.txt,completed,completed,Yes
file-CNXmsuFn6f46TX91iLYcmF,file-CNXmsuFn6f46TX91iLYcmF,article_22079701622937.txt,completed,completed,Yes
file-B24qUnurEt5dAx7w7jSMAP,file-B24qUnurEt5dAx7w7jSMAP,article_51670911738649.txt,completed,completed,Yes
file-TfauSVXadzceeoyLtFxNVp,file-TfauSVXadzceeoyLtFxNVp,article_29445783818137.txt,completed,completed,Yes
file-RQmDLCLYz9DjjPbdkZRqrx,file-RQmDLCLYz9DjjPbdkZRqrx,article_360042795951.txt,completed,completed,Yes
file-VfJb5gGY4ZDXw3JnvDb7gu,file-VfJb5gGY4ZDXw3JnvDb7gu,article_5334156830617.txt,completed,completed,Yes
file-6i7T1YMUL9XkHcZgGQsCYN,file-6i7T1YMUL9XkHcZgGQsCYN,article_29365801756441.txt,completed,completed,Yes
file-7RnCS9MWeTBhDUeDn2dkt2,file-7RnCS9MWeTBhDUeDn2dkt2,article_360018418751.txt,completed,completed,Yes
file-XpJWWBPUW9Sz4txeNA88xH,file-XpJWWBPUW9Sz4txeNA88xH,article_360018425871.txt,completed,completed,Yes
file-1tsM1RVbGTYfbpUSyyLNFh,file-1tsM1RVbGTYfbpUSyyLNFh,article_52158584241433.txt,completed,completed,Yes
file-X3acGjBj2p3xTzJNoUiw2m,file-X3acGjBj2p3xTzJNoUiw2m,article_20528262198169.txt,completed,completed,Yes
file-Gzb3oqN5HRkgTuDntK3wUv,file-Gzb3oqN5HRkgTuDntK3wUv,article_34141611701401.txt,completed,completed,Yes
file-9HvS5t4q31SEnZgT9oU7SZ,file-9HvS5t4q31SEnZgT9oU7SZ,article_52146339805721.txt,completed,completed,Yes
file-8RBMMDL5CgYJ7TaeMxnxes,file-8RBMMDL5CgYJ7TaeMxnxes,article_10426803386521.txt,completed,completed,Yes
file-X1XhGc1LLkXGZG4o3b3tU4,file-X1XhGc1LLkXGZG4o3b3tU4,article_5334136865049.txt,completed,completed,Yes
file-MByf9bd7mTKZSd5dPBn8Sa,file-MByf9bd7mTKZSd5dPBn8Sa,article_52087189248793.txt,completed,completed,Yes
file-8yicYwpWjRGPnN5pUtLofz,file-8yicYwpWjRGPnN5pUtLofz,article_42275945671321.txt,completed,completed,Yes
file-TyXpda5yzRXyj5gaDVNE8s,file-TyXpda5yzRXyj5gaDVNE8s,article_49881600032793.txt,completed,completed,Yes
file-EzJUnhwgbyyVpbD3LXGeKF,file-EzJUnhwgbyyVpbD3LXGeKF,article_38403510618905.txt,completed,completed,Yes
file-AHihwHXLkek569WtqLsD2j,file-AHihwHXLkek569WtqLsD2j,article_23374160428697.txt,completed,completed,Yes
file-8o8QF6HviTcpu73ZeUi8Mj,file-8o8QF6HviTcpu73ZeUi8Mj,article_21028226218777.txt,completed,completed,Yes
file-3hiDJ5LwuNth7ytzcyoVjc,file-3hiDJ5LwuNth7ytzcyoVjc,article_360042699071.txt,completed,completed,Yes
file-TcPFRZzKcXp6RR2uZWxdPy,file-TcPFRZzKcXp6RR2uZWxdPy,article_52159529332377.txt,completed,completed,Yes
file-WfQFuXfXX1CpYf8q8NjsKX,file-WfQFuXfXX1CpYf8q8NjsKX,article_49948809227545.txt,completed,completed,Yes
file-7sNdUj7366gzJGxVY5ZDd1,file-7sNdUj7366gzJGxVY5ZDd1,article_52158894300057.txt,completed,completed,Yes
file-A1c7LuuGdm8YHHCNQZSUyF,file-A1c7LuuGdm8YHHCNQZSUyF,article_52158960715801.txt,completed,completed,Yes
file-FjyPYcApiDJBr4V6Sf8cJ2,file-FjyPYcApiDJBr4V6Sf8cJ2,article_52127230291865.txt,completed,completed,Yes
