vector_store_file_id,file_id,filename,status,size,size_bytes,created_at,created_timestamp
file-W3umxBCiXk2dot5dzjozk6,file-W3umxBCiXk2dot5dzjozk6,article_52079549374873.txt,completed,7.83 KB,8023,2025-11-07 07:52:42,1762465962
file-Y4bx8DWj5xYB5Ccej9xZ3M,file-Y4bx8DWj5xYB5Ccej9xZ3M,article_47340650351385.txt,completed,11.26 KB,11527,2025-11-07 07:46:20,1762465580
file-WUsR7WBBeGGXiVxJauYSmD,file-WUsR7WBBeGGXiVxJauYSmD,article_48337970425625.txt,completed,19.14 KB,19600,2025-11-07 06:52:40,1762462360
file-JRwJMPTJ7Em2yhET6Rhzc4,file-JRwJMPTJ7Em2yhET6Rhzc4,article_52198581964313.txt,completed,1.47 KB,1505,2025-11-06 17:51:08,1762415468
file-KPP8xgLnts4eQzPPGGaEDH,file-KPP8xgLnts4eQzPPGGaEDH,article_19248966251417.txt,completed,7.86 KB,8047,2025-11-06 16:50:09,1762411809
file-ST9uZXCVdNt9P8yMwqRagr,file-ST9uZXCVdNt9P8yMwqRagr,article_51677022302745.txt,completed,5.83 KB,5971,2025-11-06 16:48:55,1762411735
file-9KHgbofLyg5jy1WKWp64Wu,file-9KHgbofLyg5jy1WKWp64Wu,article_360047724551.txt,completed,8.22 KB,8416,2025-11-06 16:48:52,1762411732
file-8otfzpFAgwWYLHVzBrp8P8,file-8otfzpFAgwWYLHVzBrp8P8,article_23403418763545.txt,completed,4.98 KB,5097,2025-11-06 16:46:29,1762411589
file-2QcJ7p9bQoxDinAGAsygLc,file-2QcJ7p9bQoxDinAGAsygLc,article_49533482352409.txt,completed,32.41 KB,33192,2025-11-06 16:45:06,1762411506
file-75hgu6sWjqaebcomLK7cUb,file-75hgu6sWjqaebcomLK7cUb,article_49256014636697.txt,completed,28.51 KB,29190,2025-11-06 16:44:19,1762411459
file-SngsbfR8QwLRej2NUruxFs,file-SngsbfR8QwLRej2NUruxFs,article_49539502304537.txt,completed,15.44 KB,15810,2025-11-06 16:43:03,1762411383
file-P58Ky3dRuRawuQSZTFwTSm,file-P58Ky3dRuRawuQSZTFwTSm,article_48300727338521.txt,completed,10.42 KB,10670,2025-11-06 16:42:26,1762411346
file-74uHJVTZC8t7CzZmaxqHeU,file-74uHJVTZC8t7CzZmaxqHeU,article_18105734284697.txt,completed,13.73 KB,14063,2025-11-06 16:39:13,1762411153
file-EmjrhiofWdTMTKcAQsedxx,file-EmjrhiofWdTMTKcAQsedxx,article_360046670391.txt,completed,11.61 KB,11887,2025-11-06 16:36:53,1762411013
file-LivwtCpZ1g9qPXUi7ErKKp,file-LivwtCpZ1g9qPXUi7ErKKp,article_27458260337433.txt,completed,6.81 KB,6974,2025-11-06 16:36:08,1762410968
file-MBqHHH88akM3CJNt99yaTH,file-MBqHHH88akM3CJNt99yaTH,article_360046202632.txt,completed,17.95 KB,18376,2025-11-06 16:35:25,1762410925
file-9HeJ97naRQT9RCr7xdW1TJ,file-9HeJ97naRQT9RCr7xdW1TJ,article_49709534631705.txt,completed,10.38 KB,10624,2025-11-06 16:33:34,1762410814
file-SrA3fHkiFyyjxSbSrAFyrc,file-SrA3fHkiFyyjxSbSrAFyrc,article_49948809227545.txt,completed,14.71 KB,15062,2025-11-06 16:30:48,1762410648
file-YL3oAwCSXznehLqwxzGD81,file-YL3oAwCSXznehLqwxzGD81,article_18064383906329.txt,completed,14.96 KB,15315,2025-11-06 16:30:28,1762410628
file-Xw3Xip8Sqyn84LXVSz8a4i,file-Xw3Xip8Sqyn84LXVSz8a4i,article_51316582418329.txt,completed,7.47 KB,7645,2025-11-06 16:28:36,1762410516
file-LnR9XuuvfJSQ49RpSBUDXh,file-LnR9XuuvfJSQ49RpSBUDXh,article_18066026538265.txt,completed,3.28 KB,3361,2025-11-06 16:28:01,1762410481
file-GLXyz4qww66hvmKuY9jRf7,file-GLXyz4qww66hvmKuY9jRf7,article_50626346406681.txt,completed,2.69 KB,2754,2025-11-06 16:26:48,1762410408
file-F7cdqvfCDKJKARwPPhf97x,file-F7cdqvfCDKJKARwPPhf97x,article_50155938741529.txt,completed,6.55 KB,6704,2025-11-06 16:22:05,1762410125
file-TXp5ZW3aYB2aD2LWkawR6F,file-TXp5ZW3aYB2aD2LWkawR6F,article_32770873292313.txt,completed,19.93 KB,20410,2025-11-06 16:20:07,1762410007
file-24MJx1x2kMNtk1NkhaAErB,file-24MJx1x2kMNtk1NkhaAErB,article_50689340027929.txt,completed,9.52 KB,9751,2025-11-06 16:13:08,1762409588
file-UHRgUwTzVMHkcFp3jtBmRr,file-UHRgUwTzVMHkcFp3jtBmRr,article_35680658769689.txt,completed,2.70 KB,2764,2025-11-06 16:12:54,1762409574
file-43Ndf9oTMijM4xyAgjjEL4,file-43Ndf9oTMijM4xyAgjjEL4,article_35412495841561.txt,completed,7.23 KB,7402,2025-11-06 16:12:02,1762409522
file-WwhvAwpDQyPs9pmqC9k8um,file-WwhvAwpDQyPs9pmqC9k8um,article_52007851239321.txt,completed,8.30 KB,8503,2025-11-06 16:11:20,1762409480
file-V9B6vATVSwG2cMpeJTMPp5,file-V9B6vATVSwG2cMpeJTMPp5,article_20393200316953.txt,completed,11.16 KB,11426,2025-11-06 16:09:49,1762409389
file-PXoufMPrJ5zPghEmURxvCh,file-PXoufMPrJ5zPghEmURxvCh,article_49911330101913.txt,completed,9.70 KB,9928,2025-11-06 16:09:20,1762409360
file-LbLhsXzQP8iHRVupZoC7gm,file-LbLhsXzQP8iHRVupZoC7gm,article_18069256899609.txt,completed,5.75 KB,5887,2025-11-06 16:09:15,1762409355
file-FzoZJkqajK3g5Top7vSAp9,file-FzoZJkqajK3g5Top7vSAp9,article_49921986292377.txt,completed,21.05 KB,21553,2025-11-06 16:07:03,1762409223
file-RprC3YfCPqkPrCN239ff3o,file-RprC3YfCPqkPrCN239ff3o,article_42554270556313.txt,completed,6.53 KB,6691,2025-11-06 16:07:03,1762409223
file-B1VrgP4conNaKhatoTKjZk,file-B1VrgP4conNaKhatoTKjZk,article_24359389797273.txt,completed,20.84 KB,21339,2025-11-06 15:24:54,1762406694
file-CNXmsuFn6f46TX91iLYcmF,file-CNXmsuFn6f46TX91iLYcmF,article_22079701622937.txt,completed,12.56 KB,12865,2025-11-06 15:20:12,1762406412
file-B24qUnurEt5dAx7w7jSMAP,file-B24qUnurEt5dAx7w7jSMAP,article_51670911738649.txt,completed,6.49 KB,6643,2025-11-06 15:18:10,1762406290
file-TfauSVXadzceeoyLtFxNVp,file-TfauSVXadzceeoyLtFxNVp,article_29445783818137.txt,completed,8.55 KB,8758,2025-11-06 15:04:14,1762405454
file-RQmDLCLYz9DjjPbdkZRqrx,file-RQmDLCLYz9DjjPbdkZRqrx,article_360042795951.txt,completed,8.46 KB,8668,2025-11-06 15:01:15,1762405275
file-VfJb5gGY4ZDXw3JnvDb7gu,file-VfJb5gGY4ZDXw3JnvDb7gu,article_5334156830617.txt,completed,28.90 KB,29595,2025-11-06 14:59:14,1762405154
file-6i7T1YMUL9XkHcZgGQsCYN,file-6i7T1YMUL9XkHcZgGQsCYN,article_29365801756441.txt,completed,10.13 KB,10369,2025-11-06 14:57:39,1762405059
file-7RnCS9MWeTBhDUeDn2dkt2,file-7RnCS9MWeTBhDUeDn2dkt2,article_360018418751.txt,completed,11.83 KB,12117,2025-11-06 14:54:36,1762404876
file-XpJWWBPUW9Sz4txeNA88xH,file-XpJWWBPUW9Sz4txeNA88xH,article_360018425871.txt,completed,20.65 KB,21149,2025-11-06 14:53:50,1762404830
file-1tsM1RVbGTYfbpUSyyLNFh,file-1tsM1RVbGTYfbpUSyyLNFh,article_52158584241433.txt,completed,6.00 KB,6143,2025-11-06 14:51:50,1762404710
file-X3acGjBj2p3xTzJNoUiw2m,file-X3acGjBj2p3xTzJNoUiw2m,article_20528262198169.txt,completed,21.06 KB,21567,2025-11-06 14:47:17,1762404437
file-Gzb3oqN5HRkgTuDntK3wUv,file-Gzb3oqN5HRkgTuDntK3wUv,article_34141611701401.txt,completed,104.12 KB,106621,2025-11-06 14:46:59,1762404419
file-9HvS5t4q31SEnZgT9oU7SZ,file-9HvS5t4q31SEnZgT9oU7SZ,article_52146339805721.txt,completed,11.19 KB,11462,2025-11-06 14:45:50,1762404350
file-8RBMMDL5CgYJ7TaeMxnxes,file-8RBMMDL5CgYJ7TaeMxnxes,article_10426803386521.txt,completed,15.75 KB,16129,2025-11-06 14:39:55,1762403995
file-X1XhGc1LLkXGZG4o3b3tU4,file-X1XhGc1LLkXGZG4o3b3tU4,article_5334136865049.txt,completed,12.02 KB,12311,2025-11-06 14:37:41,1762403861
file-MByf9bd7mTKZSd5dPBn8Sa,file-MByf9bd7mTKZSd5dPBn8Sa,article_52087189248793.txt,completed,1.75 KB,1795,2025-11-06 14:32:55,1762403575
file-8yicYwpWjRGPnN5pUtLofz,file-8yicYwpWjRGPnN5pUtLofz,article_42275945671321.txt,completed,4.98 KB,5102,2025-11-06 14:32:47,1762403567
file-TyXpda5yzRXyj5gaDVNE8s,file-TyXpda5yzRXyj5gaDVNE8s,article_49881600032793.txt,completed,9.63 KB,9863,2025-11-06 14:30:17,1762403417
file-EzJUnhwgbyyVpbD3LXGeKF,file-EzJUnhwgbyyVpbD3LXGeKF,article_38403510618905.txt,completed,8.60 KB,8805,2025-11-05 18:26:26,1762331186
file-AHihwHXLkek569WtqLsD2j,file-AHihwHXLkek569WtqLsD2j,article_23374160428697.txt,completed,23.94 KB,24512,2025-11-05 18:22:48,1762330968
file-8o8QF6HviTcpu73ZeUi8Mj,file-8o8QF6HviTcpu73ZeUi8Mj,article_21028226218777.txt,completed,18.65 KB,19094,2025-11-05 18:20:55,1762330855
file-3hiDJ5LwuNth7ytzcyoVjc,file-3hiDJ5LwuNth7ytzcyoVjc,article_360042699071.txt,completed,15.62 KB,15998,2025-11-05 17:54:00,1762329240
file-TcPFRZzKcXp6RR2uZWxdPy,file-TcPFRZzKcXp6RR2uZWxdPy,article_52159529332377.txt,completed,5.25 KB,5372,2025-11-05 16:22:35,1762323755
